description,proteins,fats,carbohydrates,calories,answer
pepperidge farm goldfish baked snack crackers pizza,9.67,18.93,65.11,469.0,"{""proteins"": 9.67, ""fats"": 18.93, ""carbohydrates"": 65.11, ""calories"": 469.0}"
rudi's gluten-free bakery original sandwich bread,3.13,10.7,52.83,320.0,"{""proteins"": 3.13, ""fats"": 10.7, ""carbohydrates"": 52.83, ""calories"": 320.0}"
sage valley gluten free vanilla sandwich cookies,3.13,22.15,71.88,499.0,"{""proteins"": 3.13, ""fats"": 22.15, ""carbohydrates"": 71.88, ""calories"": 499.0}"
schar gluten-free classic white rolls,3.34,2.65,50.47,239.0,"{""proteins"": 3.34, ""fats"": 2.65, ""carbohydrates"": 50.47, ""calories"": 239.0}"
schar gluten-free wheat-free classic white bread,3.81,4.47,46.13,240.0,"{""proteins"": 3.81, ""fats"": 4.47, ""carbohydrates"": 46.13, ""calories"": 240.0}"
udi's gluten free classic french dinner rolls,7.99,6.4,55.1,310.0,"{""proteins"": 7.99, ""fats"": 6.4, ""carbohydrates"": 55.1, ""calories"": 310.0}"
udi's gluten free soft & delicious white sandwich bread,5.4,8.02,51.15,298.0,"{""proteins"": 5.4, ""fats"": 8.02, ""carbohydrates"": 51.15, ""calories"": 298.0}"
udi's gluten free soft & hearty whole grain bread,7.25,9.34,49.09,309.0,"{""proteins"": 7.25, ""fats"": 9.34, ""carbohydrates"": 49.09, ""calories"": 309.0}"
udi's gluten free whole grain dinner rolls,11.8,11.6,44.29,329.0,"{""proteins"": 11.8, ""fats"": 11.6, ""carbohydrates"": 44.29, ""calories"": 329.0}"
van's gluten free totally original pancakes,3.31,4.55,40.32,215.0,"{""proteins"": 3.31, ""fats"": 4.55, ""carbohydrates"": 40.32, ""calories"": 215.0}"
van's gluten free totally original waffles,2.99,8.22,40.54,248.0,"{""proteins"": 2.99, ""fats"": 8.22, ""carbohydrates"": 40.54, ""calories"": 248.0}"
van's the perfect 10 crispy six whole grain + four seed baked crackers gluten free,7.63,18.93,67.57,471.0,"{""proteins"": 7.63, ""fats"": 18.93, ""carbohydrates"": 67.57, ""calories"": 471.0}"
pepperidge farm 100% whole wheat hamburger buns,0.01,3.08,43.2,257.0,"{""proteins"": 0.01, ""fats"": 3.08, ""carbohydrates"": 43.2, ""calories"": 257.0}"
pepperidge farm cinnamon swirl bread,0.01,5.0,52.9,300.0,"{""proteins"": 0.01, ""fats"": 5.0, ""carbohydrates"": 52.9, ""calories"": 300.0}"
pepperidge farm raisin cinnamon swirl bread,0.01,5.0,52.1,286.0,"{""proteins"": 0.01, ""fats"": 5.0, ""carbohydrates"": 52.1, ""calories"": 286.0}"
pepperidge farm whole grain 15 grain bread,0.01,4.9,45.8,270.0,"{""proteins"": 0.01, ""fats"": 4.9, ""carbohydrates"": 45.8, ""calories"": 270.0}"
pepperidge farm farmhouse hearty white bread,0.01,2.98,60.16,267.0,"{""proteins"": 0.01, ""fats"": 2.98, ""carbohydrates"": 60.16, ""calories"": 267.0}"
pepperidge farm farmhouse oatmeal bread,0.01,4.07,50.7,275.0,"{""proteins"": 0.01, ""fats"": 4.07, ""carbohydrates"": 50.7, ""calories"": 275.0}"
pepperidge farm whole grain 100% whole wheat bread,0.01,3.5,47.2,263.0,"{""proteins"": 0.01, ""fats"": 3.5, ""carbohydrates"": 47.2, ""calories"": 263.0}"
pepperidge farm farmhouse sourdough bread,0.01,3.53,50.3,269.0,"{""proteins"": 0.01, ""fats"": 3.53, ""carbohydrates"": 50.3, ""calories"": 269.0}"
pepperidge farm jewish rye bread (seedless),0.01,3.4,45.0,253.0,"{""proteins"": 0.01, ""fats"": 3.4, ""carbohydrates"": 45.0, ""calories"": 253.0}"
pepperidge farm pumpernickel bread,0.01,3.4,46.9,259.0,"{""proteins"": 0.01, ""fats"": 3.4, ""carbohydrates"": 46.9, ""calories"": 259.0}"
pepperidge farm hamburger buns w/sesame,0.01,4.08,49.9,280.0,"{""proteins"": 0.01, ""fats"": 4.08, ""carbohydrates"": 49.9, ""calories"": 280.0}"
pepperidge farm deli swirl bread,0.01,3.1,44.7,247.0,"{""proteins"": 0.01, ""fats"": 3.1, ""carbohydrates"": 44.7, ""calories"": 247.0}"
pepperidge farm white bread,0.01,5.1,50.2,280.0,"{""proteins"": 0.01, ""fats"": 5.1, ""carbohydrates"": 50.2, ""calories"": 280.0}"
pepperidge farm light style wheat bread,0.01,1.9,45.6,256.0,"{""proteins"": 0.01, ""fats"": 1.9, ""carbohydrates"": 45.6, ""calories"": 256.0}"
pepperidge farm seeded jewish rye bread,0.01,2.8,48.4,256.0,"{""proteins"": 0.01, ""fats"": 2.8, ""carbohydrates"": 48.4, ""calories"": 256.0}"
pepperidge farm farmhouse 100% whole wheat bread,0.01,4.81,46.1,269.0,"{""proteins"": 0.01, ""fats"": 4.81, ""carbohydrates"": 46.1, ""calories"": 269.0}"
pepperidge farm white hoagie roll,0.01,8.7,50.7,296.0,"{""proteins"": 0.01, ""fats"": 8.7, ""carbohydrates"": 50.7, ""calories"": 296.0}"
pepperidge farm hamburger bun,0.01,3.71,50.0,278.0,"{""proteins"": 0.01, ""fats"": 3.71, ""carbohydrates"": 50.0, ""calories"": 278.0}"
pepperidge farm whole grain honey whole wheat bread,0.01,3.5,47.7,263.0,"{""proteins"": 0.01, ""fats"": 3.5, ""carbohydrates"": 47.7, ""calories"": 263.0}"
pepperidge farm whole grain oatmeal bread,0.01,3.7,46.5,258.0,"{""proteins"": 0.01, ""fats"": 3.7, ""carbohydrates"": 46.5, ""calories"": 258.0}"
bread multi-grain (includes whole-grain),13.36,4.23,43.34,265.0,"{""proteins"": 13.36, ""fats"": 4.23, ""carbohydrates"": 43.34, ""calories"": 265.0}"
cookies animal crackers (includes arrowroot tea biscuits),6.9,13.8,74.1,446.0,"{""proteins"": 6.9, ""fats"": 13.8, ""carbohydrates"": 74.1, ""calories"": 446.0}"
campbell's tomato juice,0.82,0.0,4.12,21.0,"{""proteins"": 0.82, ""fats"": 0.0, ""carbohydrates"": 4.12, ""calories"": 21.0}"
campbell's tomato juice low sodium,0.82,0.0,4.12,21.0,"{""proteins"": 0.82, ""fats"": 0.0, ""carbohydrates"": 4.12, ""calories"": 21.0}"
campbell's v8 vegetable juice organic v8,0.41,0.0,4.53,20.0,"{""proteins"": 0.41, ""fats"": 0.0, ""carbohydrates"": 4.53, ""calories"": 20.0}"
campbell's organic tomato juice,0.82,0.0,4.12,21.0,"{""proteins"": 0.82, ""fats"": 0.0, ""carbohydrates"": 4.12, ""calories"": 21.0}"
healthy request tomato juice,0.82,0.0,4.53,21.0,"{""proteins"": 0.82, ""fats"": 0.0, ""carbohydrates"": 4.53, ""calories"": 21.0}"
campbell's v8 100% vegetable juice,0.82,0.0,4.12,21.0,"{""proteins"": 0.82, ""fats"": 0.0, ""carbohydrates"": 4.12, ""calories"": 21.0}"
campbell's v8 vegetable juice essential antioxidants v8,0.82,0.0,4.53,21.0,"{""proteins"": 0.82, ""fats"": 0.0, ""carbohydrates"": 4.53, ""calories"": 21.0}"
campbell's v8 vegetable juice calcium enriched v8,0.82,0.0,4.53,21.0,"{""proteins"": 0.82, ""fats"": 0.0, ""carbohydrates"": 4.53, ""calories"": 21.0}"
campbell's v8 vegetable juice low sodium v8,0.82,0.0,4.12,21.0,"{""proteins"": 0.82, ""fats"": 0.0, ""carbohydrates"": 4.12, ""calories"": 21.0}"
campbell's v8 vegetable juice spicy hot v8,0.82,0.0,4.12,21.0,"{""proteins"": 0.82, ""fats"": 0.0, ""carbohydrates"": 4.12, ""calories"": 21.0}"
pace jalapenos nacho sliced peppers,0.0,0.0,3.33,13.0,"{""proteins"": 0.0, ""fats"": 0.0, ""carbohydrates"": 3.33, ""calories"": 13.0}"
pace diced green chilies,0.0,0.0,6.67,27.0,"{""proteins"": 0.0, ""fats"": 0.0, ""carbohydrates"": 6.67, ""calories"": 27.0}"
campbell's v8 60% vegetable juice v8 v-lite,0.41,0.0,2.88,14.0,"{""proteins"": 0.41, ""fats"": 0.0, ""carbohydrates"": 2.88, ""calories"": 14.0}"
campbell's v8 vegetable juice low sodium spicy hot,0.82,0.0,4.53,21.0,"{""proteins"": 0.82, ""fats"": 0.0, ""carbohydrates"": 4.53, ""calories"": 21.0}"
campbell's v8 vegetable juice high fiber v8,0.82,0.0,5.39,25.0,"{""proteins"": 0.82, ""fats"": 0.0, ""carbohydrates"": 5.39, ""calories"": 25.0}"
seaweed canadian cultivated emi-tsunomata dry,15.34,1.39,46.24,259.0,"{""proteins"": 15.34, ""fats"": 1.39, ""carbohydrates"": 46.24, ""calories"": 259.0}"
seaweed canadian cultivated emi-tsunomata rehydrated,1.86,0.17,5.62,31.0,"{""proteins"": 1.86, ""fats"": 0.17, ""carbohydrates"": 5.62, ""calories"": 31.0}"
potatoes hash brown refrigerated unprepared,1.75,0.08,19.16,84.0,"{""proteins"": 1.75, ""fats"": 0.08, ""carbohydrates"": 19.16, ""calories"": 84.0}"
potatoes hash brown refrigerated prepared pan-fried in canola oil,3.24,10.3,33.99,242.0,"{""proteins"": 3.24, ""fats"": 10.3, ""carbohydrates"": 33.99, ""calories"": 242.0}"
sweet potatoes french fried frozen as packaged salt added in processing,2.16,8.92,35.58,182.0,"{""proteins"": 2.16, ""fats"": 8.92, ""carbohydrates"": 35.58, ""calories"": 182.0}"
sweet potatoes french fried crosscut frozen unprepared,1.7,11.1,25.52,209.0,"{""proteins"": 1.7, ""fats"": 11.1, ""carbohydrates"": 25.52, ""calories"": 209.0}"
sweet potato puffs frozen unprepared,1.36,3.58,30.72,161.0,"{""proteins"": 1.36, ""fats"": 3.58, ""carbohydrates"": 30.72, ""calories"": 161.0}"
potatoes yellow fleshed roasted salt added in processing frozen unprepared,1.99,1.85,23.44,119.0,"{""proteins"": 1.99, ""fats"": 1.85, ""carbohydrates"": 23.44, ""calories"": 119.0}"
potatoes yellow fleshed french fried frozen unprepared,2.47,5.84,25.01,162.0,"{""proteins"": 2.47, ""fats"": 5.84, ""carbohydrates"": 25.01, ""calories"": 162.0}"
potatoes yellow fleshed hash brown shredded salt added in processing frozen unprepared,2.04,0.07,17.98,81.0,"{""proteins"": 2.04, ""fats"": 0.07, ""carbohydrates"": 17.98, ""calories"": 81.0}"
potatoes french fried wedge cut frozen unprepared,2.56,7.47,22.22,166.0,"{""proteins"": 2.56, ""fats"": 7.47, ""carbohydrates"": 22.22, ""calories"": 166.0}"
potatoes french fried steak cut salt not added in processing frozen unprepared,2.4,3.42,24.31,138.0,"{""proteins"": 2.4, ""fats"": 3.42, ""carbohydrates"": 24.31, ""calories"": 138.0}"
potatoes french fried cross cut frozen unprepared,2.7,10.0,22.95,193.0,"{""proteins"": 2.7, ""fats"": 10.0, ""carbohydrates"": 22.95, ""calories"": 193.0}"
vegetable smoothie naked juice kale blazer,0.8,0.07,7.0,28.0,"{""proteins"": 0.8, ""fats"": 0.07, ""carbohydrates"": 7.0, ""calories"": 28.0}"
ginger root pickled canned with artificial sweetener,0.33,0.1,4.83,20.0,"{""proteins"": 0.33, ""fats"": 0.1, ""carbohydrates"": 4.83, ""calories"": 20.0}"
peppers hot pickled canned,0.8,0.4,4.56,22.0,"{""proteins"": 0.8, ""fats"": 0.4, ""carbohydrates"": 4.56, ""calories"": 22.0}"
vegetable juice bolthouse farms daily greens,0.49,0.04,8.13,31.0,"{""proteins"": 0.49, ""fats"": 0.04, ""carbohydrates"": 8.13, ""calories"": 31.0}"
potatoes mashed ready-to-eat,1.97,5.01,13.29,106.0,"{""proteins"": 1.97, ""fats"": 5.01, ""carbohydrates"": 13.29, ""calories"": 106.0}"
rice and vermicelli mix beef flavor unprepared,10.84,1.27,76.02,359.0,"{""proteins"": 10.84, ""fats"": 1.27, ""carbohydrates"": 76.02, ""calories"": 359.0}"
rice and vermicelli mix beef flavor prepared with 80% margarine,2.82,3.2,22.03,129.0,"{""proteins"": 2.82, ""fats"": 3.2, ""carbohydrates"": 22.03, ""calories"": 129.0}"
rice and vermicelli mix rice pilaf flavor unprepared,10.42,1.37,76.31,359.0,"{""proteins"": 10.42, ""fats"": 1.37, ""carbohydrates"": 76.31, ""calories"": 359.0}"
rice and vermicelli mix rice pilaf flavor prepared with 80% margarine,2.94,3.7,25.67,148.0,"{""proteins"": 2.94, ""fats"": 3.7, ""carbohydrates"": 25.67, ""calories"": 148.0}"
macaroni and cheese box mix with cheese sauce unprepared,12.73,10.67,46.66,334.0,"{""proteins"": 12.73, ""fats"": 10.67, ""carbohydrates"": 46.66, ""calories"": 334.0}"
macaroni and cheese box mix with cheese sauce prepared,6.68,4.99,23.1,164.0,"{""proteins"": 6.68, ""fats"": 4.99, ""carbohydrates"": 23.1, ""calories"": 164.0}"
taquitos frozen chicken and cheese oven-heated,9.21,12.54,33.63,284.0,"{""proteins"": 9.21, ""fats"": 12.54, ""carbohydrates"": 33.63, ""calories"": 284.0}"
taquitos frozen beef and cheese oven-heated,9.4,12.79,33.46,287.0,"{""proteins"": 9.4, ""fats"": 12.79, ""carbohydrates"": 33.46, ""calories"": 287.0}"
pasta mix classic cheeseburger macaroni unprepared,11.6,1.88,71.51,349.0,"{""proteins"": 11.6, ""fats"": 1.88, ""carbohydrates"": 71.51, ""calories"": 349.0}"
pasta mix classic beef unprepared,12.32,1.78,72.2,354.0,"{""proteins"": 12.32, ""fats"": 1.78, ""carbohydrates"": 72.2, ""calories"": 354.0}"
pasta mix italian lasagna unprepared,10.9,1.97,73.77,356.0,"{""proteins"": 10.9, ""fats"": 1.97, ""carbohydrates"": 73.77, ""calories"": 356.0}"
yellow rice with seasoning dry packet mix unprepared,7.02,1.75,74.68,343.0,"{""proteins"": 7.02, ""fats"": 1.75, ""carbohydrates"": 74.68, ""calories"": 343.0}"
pizza rolls frozen unprepared,8.73,9.98,50.72,328.0,"{""proteins"": 8.73, ""fats"": 9.98, ""carbohydrates"": 50.72, ""calories"": 328.0}"
potsticker or wonton pork and vegetable frozen unprepared,8.28,5.52,13.28,136.0,"{""proteins"": 8.28, ""fats"": 5.52, ""carbohydrates"": 13.28, ""calories"": 136.0}"
macaroni or noodles with cheese made from reduced fat packaged mix unprepared,13.1,4.03,52.06,297.0,"{""proteins"": 13.1, ""fats"": 4.03, ""carbohydrates"": 52.06, ""calories"": 297.0}"
turnover cheese-filled tomato-based sauce frozen unprepared,10.24,9.45,27.29,235.0,"{""proteins"": 10.24, ""fats"": 9.45, ""carbohydrates"": 27.29, ""calories"": 235.0}"
macaroni or noodles with cheese microwaveable unprepared,11.48,6.56,70.75,388.0,"{""proteins"": 11.48, ""fats"": 6.56, ""carbohydrates"": 70.75, ""calories"": 388.0}"
pasta mix italian four cheese lasagna unprepared,12.53,2.7,70.26,355.0,"{""proteins"": 12.53, ""fats"": 2.7, ""carbohydrates"": 70.26, ""calories"": 355.0}"
spanish rice mix dry mix unprepared,10.62,1.62,76.45,363.0,"{""proteins"": 10.62, ""fats"": 1.62, ""carbohydrates"": 76.45, ""calories"": 363.0}"
lasagna cheese frozen unprepared,5.06,4.22,21.61,145.0,"{""proteins"": 5.06, ""fats"": 4.22, ""carbohydrates"": 21.61, ""calories"": 145.0}"
chicken thighs frozen breaded reheated,18.66,22.45,14.23,334.0,"{""proteins"": 18.66, ""fats"": 22.45, ""carbohydrates"": 14.23, ""calories"": 334.0}"
spanish rice mix dry mix prepared (with canola/vegetable oil blend or diced tomatoes and margarine),3.27,2.38,22.74,125.0,"{""proteins"": 3.27, ""fats"": 2.38, ""carbohydrates"": 22.74, ""calories"": 125.0}"
kashi three cheese ravioli with mediterranean tomato sauce frozen unprepared,5.5,4.2,19.7,131.0,"{""proteins"": 5.5, ""fats"": 4.2, ""carbohydrates"": 19.7, ""calories"": 131.0}"
kashi mushroom & asparagus risotto frozen unprepared,4.3,3.7,17.0,116.0,"{""proteins"": 4.3, ""fats"": 3.7, ""carbohydrates"": 17.0, ""calories"": 116.0}"
rice mix cheese flavor dry mix unprepared,8.77,3.51,73.88,362.0,"{""proteins"": 8.77, ""fats"": 3.51, ""carbohydrates"": 73.88, ""calories"": 362.0}"
dumpling potato- or cheese-filled frozen,5.26,6.14,29.64,195.0,"{""proteins"": 5.26, ""fats"": 6.14, ""carbohydrates"": 29.64, ""calories"": 195.0}"
turnover chicken- or turkey- and vegetable-filled reduced fat frozen,7.87,5.51,21.74,168.0,"{""proteins"": 7.87, ""fats"": 5.51, ""carbohydrates"": 21.74, ""calories"": 168.0}"
turnover meat- and cheese-filled tomato-based sauce reduced fat frozen,9.45,5.51,31.89,215.0,"{""proteins"": 9.45, ""fats"": 5.51, ""carbohydrates"": 31.89, ""calories"": 215.0}"
turnover filled with egg meat and cheese frozen,7.87,12.6,20.67,228.0,"{""proteins"": 7.87, ""fats"": 12.6, ""carbohydrates"": 20.67, ""calories"": 228.0}"
rice mix white and wild flavored unprepared,10.53,0.88,76.14,355.0,"{""proteins"": 10.53, ""fats"": 0.88, ""carbohydrates"": 76.14, ""calories"": 355.0}"
kashi italian vegetable medley pasta frozen unprepared,4.7,2.6,16.3,106.0,"{""proteins"": 4.7, ""fats"": 2.6, ""carbohydrates"": 16.3, ""calories"": 106.0}"
salisbury steak with gravy frozen,6.98,10.47,6.78,149.0,"{""proteins"": 6.98, ""fats"": 10.47, ""carbohydrates"": 6.78, ""calories"": 149.0}"
sausage egg and cheese breakfast biscuit,9.54,22.13,21.57,324.0,"{""proteins"": 9.54, ""fats"": 22.13, ""carbohydrates"": 21.57, ""calories"": 324.0}"
hungry man salisbury steak with gravy frozen unprepared,7.96,8.53,6.96,136.0,"{""proteins"": 7.96, ""fats"": 8.53, ""carbohydrates"": 6.96, ""calories"": 136.0}"
banquet salisbury steak with gravy family size frozen unprepared,6.89,11.1,6.96,155.0,"{""proteins"": 6.89, ""fats"": 11.1, ""carbohydrates"": 6.96, ""calories"": 155.0}"
jimmy dean sausage egg and cheese breakfast biscuit frozen unprepared,9.29,22.9,21.07,328.0,"{""proteins"": 9.29, ""fats"": 22.9, ""carbohydrates"": 21.07, ""calories"": 328.0}"
infant formula mead johnson enfamil premium newborn powder,10.8,27.0,57.0,514.0,"{""proteins"": 10.8, ""fats"": 27.0, ""carbohydrates"": 57.0, ""calories"": 514.0}"
infant formula mead johnson enfamil premium lipil infant powder,10.8,27.0,57.0,510.0,"{""proteins"": 10.8, ""fats"": 27.0, ""carbohydrates"": 57.0, ""calories"": 510.0}"
infant formula mead johnson enfamil premium lipil infant liquid concentrate not reconstituted,2.73,6.83,14.42,129.0,"{""proteins"": 2.73, ""fats"": 6.83, ""carbohydrates"": 14.42, ""calories"": 129.0}"
infant formula mead johnson enfamil premium infant liquid concentrate not reconstituted,2.72,7.1,14.34,129.0,"{""proteins"": 2.72, ""fats"": 7.1, ""carbohydrates"": 14.34, ""calories"": 129.0}"
infant formula mead johnson enfamil enfagrow gentlease toddler lipil powder,12.9,26.0,52.0,494.0,"{""proteins"": 12.9, ""fats"": 26.0, ""carbohydrates"": 52.0, ""calories"": 494.0}"
infant formula gerber good start protect plus powder,11.3,26.1,57.0,512.0,"{""proteins"": 11.3, ""fats"": 26.1, ""carbohydrates"": 57.0, ""calories"": 512.0}"
infant formula gerber good start 2 gentle plus powder,10.8,25.1,57.1,492.0,"{""proteins"": 10.8, ""fats"": 25.1, ""carbohydrates"": 57.1, ""calories"": 492.0}"
infant formula gerber good start 2 protect plus powder,11.1,25.7,56.3,501.0,"{""proteins"": 11.1, ""fats"": 25.7, ""carbohydrates"": 56.3, ""calories"": 501.0}"
infant formula mead johnson enfamil enfagrow soy toddler lipil powder,15.7,21.0,56.0,470.0,"{""proteins"": 15.7, ""fats"": 21.0, ""carbohydrates"": 56.0, ""calories"": 470.0}"
infant formula abbott nutrition similac go and grow powder with ara and dha,15.36,27.65,52.2,512.0,"{""proteins"": 15.36, ""fats"": 27.65, ""carbohydrates"": 52.2, ""calories"": 512.0}"
infant formula gerber good start 2 soy with iron powder,12.5,25.6,55.6,501.0,"{""proteins"": 12.5, ""fats"": 25.6, ""carbohydrates"": 55.6, ""calories"": 501.0}"
infant formula mead johnson enfamil nutramigen aa lipil powder not reconstituted,14.0,26.0,51.0,500.0,"{""proteins"": 14.0, ""fats"": 26.0, ""carbohydrates"": 51.0, ""calories"": 500.0}"
infant formula mead johnson enfamil premature 20 calories ready-to-feed low iron,1.97,3.34,7.21,66.0,"{""proteins"": 1.97, ""fats"": 3.34, ""carbohydrates"": 7.21, ""calories"": 66.0}"
infant formula mead johnson enfamil premature 24 calories ready-to-feed low iron,1.97,3.34,7.19,67.0,"{""proteins"": 1.97, ""fats"": 3.34, ""carbohydrates"": 7.19, ""calories"": 67.0}"
infant formula mead johnson enfamil premium infant ready-to-feed,1.38,3.48,7.39,66.0,"{""proteins"": 1.38, ""fats"": 3.48, ""carbohydrates"": 7.39, ""calories"": 66.0}"
infant formula mead johnson enfamil premium infant powder,10.8,27.0,57.0,510.0,"{""proteins"": 10.8, ""fats"": 27.0, ""carbohydrates"": 57.0, ""calories"": 510.0}"
babyfood gerber banana with orange medley,1.06,0.0,20.41,86.0,"{""proteins"": 1.06, ""fats"": 0.0, ""carbohydrates"": 20.41, ""calories"": 86.0}"
agutuk fish/berry with seal oil (alaskan ice cream) (alaska native),3.4,31.8,13.4,353.0,"{""proteins"": 3.4, ""fats"": 31.8, ""carbohydrates"": 13.4, ""calories"": 353.0}"
agutuk meat-caribou (alaskan ice cream) (alaska native),21.7,18.6,0.9,258.0,"{""proteins"": 21.7, ""fats"": 18.6, ""carbohydrates"": 0.9, ""calories"": 258.0}"
ascidians (tunughnak) (alaska native),3.8,0.5,0.0,20.0,"{""proteins"": 3.8, ""fats"": 0.5, ""carbohydrates"": 0.0, ""calories"": 20.0}"
bear black meat (alaska native),20.1,8.3,0.0,155.0,"{""proteins"": 20.1, ""fats"": 8.3, ""carbohydrates"": 0.0, ""calories"": 155.0}"
bear polar meat raw (alaska native),25.6,3.1,0.0,130.0,"{""proteins"": 25.6, ""fats"": 3.1, ""carbohydrates"": 0.0, ""calories"": 130.0}"
whale beluga meat dried (alaska native),69.86,5.34,0.0,327.0,"{""proteins"": 69.86, ""fats"": 5.34, ""carbohydrates"": 0.0, ""calories"": 327.0}"
whale beluga eyes (alaska native),19.6,23.3,0.0,291.0,"{""proteins"": 19.6, ""fats"": 23.3, ""carbohydrates"": 0.0, ""calories"": 291.0}"
whale beluga meat raw (alaska native),26.5,0.5,0.0,111.0,"{""proteins"": 26.5, ""fats"": 0.5, ""carbohydrates"": 0.0, ""calories"": 111.0}"
whale beluga flipper raw (alaska native),19.0,21.7,0.0,271.0,"{""proteins"": 19.0, ""fats"": 21.7, ""carbohydrates"": 0.0, ""calories"": 271.0}"
whale beluga liver raw (alaska native),18.4,3.9,2.0,117.0,"{""proteins"": 18.4, ""fats"": 3.9, ""carbohydrates"": 2.0, ""calories"": 117.0}"
oil beluga whale (alaska native),0.0,100.0,0.0,900.0,"{""proteins"": 0.0, ""fats"": 100.0, ""carbohydrates"": 0.0, ""calories"": 900.0}"
blackberries wild raw (alaska native),0.84,1.07,9.84,52.0,"{""proteins"": 0.84, ""fats"": 1.07, ""carbohydrates"": 9.84, ""calories"": 52.0}"
fish blackfish whole (alaska native),15.5,1.75,0.0,82.0,"{""proteins"": 15.5, ""fats"": 1.75, ""carbohydrates"": 0.0, ""calories"": 82.0}"
blueberries wild frozen (alaska native),0.7,0.0,10.4,44.0,"{""proteins"": 0.7, ""fats"": 0.0, ""carbohydrates"": 10.4, ""calories"": 44.0}"
caribou bone marrow raw (alaska native),6.7,84.4,0.0,786.0,"{""proteins"": 6.7, ""fats"": 84.4, ""carbohydrates"": 0.0, ""calories"": 786.0}"
caribou eye raw (alaska native),10.8,31.4,0.0,326.0,"{""proteins"": 10.8, ""fats"": 31.4, ""carbohydrates"": 0.0, ""calories"": 326.0}"
caribou liver raw (alaska native),15.0,3.9,6.8,122.0,"{""proteins"": 15.0, ""fats"": 3.9, ""carbohydrates"": 6.8, ""calories"": 122.0}"
stew/soup caribou (alaska native),3.8,0.7,4.8,41.0,"{""proteins"": 3.8, ""fats"": 0.7, ""carbohydrates"": 4.8, ""calories"": 41.0}"
caribou tongue raw (alaska native),13.7,22.8,0.0,260.0,"{""proteins"": 13.7, ""fats"": 22.8, ""carbohydrates"": 0.0, ""calories"": 260.0}"
chiton leathery gumboots (alaska native),17.1,1.6,0.0,83.0,"{""proteins"": 17.1, ""fats"": 1.6, ""carbohydrates"": 0.0, ""calories"": 83.0}"
cloudberries raw (alaska native),2.4,0.8,8.6,51.0,"{""proteins"": 2.4, ""fats"": 0.8, ""carbohydrates"": 8.6, ""calories"": 51.0}"
cockles raw (alaska native),13.5,0.7,4.7,79.0,"{""proteins"": 13.5, ""fats"": 0.7, ""carbohydrates"": 4.7, ""calories"": 79.0}"
cranberries wild bush raw (alaska native),1.1,0.2,12.3,55.0,"{""proteins"": 1.1, ""fats"": 0.2, ""carbohydrates"": 12.3, ""calories"": 55.0}"
cranberry low bush or lingenberry raw (alaska native),0.4,0.5,12.2,55.0,"{""proteins"": 0.4, ""fats"": 0.5, ""carbohydrates"": 12.2, ""calories"": 55.0}"
fish devilfish meat (alaska native),11.7,5.3,0.0,97.0,"{""proteins"": 11.7, ""fats"": 5.3, ""carbohydrates"": 0.0, ""calories"": 97.0}"
fireweed young leaves raw (alaska native),3.0,0.8,6.3,44.0,"{""proteins"": 3.0, ""fats"": 0.8, ""carbohydrates"": 6.3, ""calories"": 44.0}"
fish herring eggs on giant kelp pacific (alaska native),11.3,0.8,2.6,63.0,"{""proteins"": 11.3, ""fats"": 0.8, ""carbohydrates"": 2.6, ""calories"": 63.0}"
fish herring eggs pacific dry (alaska native),60.4,6.6,2.8,312.0,"{""proteins"": 60.4, ""fats"": 6.6, ""carbohydrates"": 2.8, ""calories"": 312.0}"
fish herring eggs pacific plain (alaska native),9.6,1.93,4.47,74.0,"{""proteins"": 9.6, ""fats"": 1.93, ""carbohydrates"": 4.47, ""calories"": 74.0}"
fish herring pacific flesh air-dried packed in oil (alaska native),44.5,34.6,0.0,489.0,"{""proteins"": 44.5, ""fats"": 34.6, ""carbohydrates"": 0.0, ""calories"": 489.0}"
huckleberries raw (alaska native),0.4,0.1,8.7,37.0,"{""proteins"": 0.4, ""fats"": 0.1, ""carbohydrates"": 8.7, ""calories"": 37.0}"
fish lingcod meat raw (alaska native),17.9,0.8,0.0,79.0,"{""proteins"": 17.9, ""fats"": 0.8, ""carbohydrates"": 0.0, ""calories"": 79.0}"
fish lingcod liver (alaska native),5.6,42.0,6.0,424.0,"{""proteins"": 5.6, ""fats"": 42.0, ""carbohydrates"": 6.0, ""calories"": 424.0}"
stew moose (alaska native),6.6,0.5,6.0,55.0,"{""proteins"": 6.6, ""fats"": 0.5, ""carbohydrates"": 6.0, ""calories"": 55.0}"
moose meat raw (alaska native),22.3,1.5,0.0,103.0,"{""proteins"": 22.3, ""fats"": 1.5, ""carbohydrates"": 0.0, ""calories"": 103.0}"
mashu roots raw (alaska native),5.8,2.4,22.6,135.0,"{""proteins"": 5.8, ""fats"": 2.4, ""carbohydrates"": 22.6, ""calories"": 135.0}"
moose liver braised (alaska native),24.38,4.89,3.43,155.0,"{""proteins"": 24.38, ""fats"": 4.89, ""carbohydrates"": 3.43, ""calories"": 155.0}"
mouse nuts roots (alaska native),3.9,0.1,16.1,81.0,"{""proteins"": 3.9, ""fats"": 0.1, ""carbohydrates"": 16.1, ""calories"": 81.0}"
mouse nuts seedlings (alaska native),7.3,1.1,16.3,104.0,"{""proteins"": 7.3, ""fats"": 1.1, ""carbohydrates"": 16.3, ""calories"": 104.0}"
